ENABLE_QCN			Yes
PACKET_PAYLOAD_SIZE		1000
TOPOLOGY_FILE			mix/1/topology.txt
FLOW_FILE			mix/1/flow.txt
TRACE_FILE			mix/1/trace.txt
TRACE_OUTPUT_FILE		mix/1/mix.tr
FCT_OUTPUT_FILE		mix/1/fct.txt
PFC_OUTPUT_FILE				mix/1/pfc.txt
SIMULATOR_STOP_TIME		4
CC_MODE		13
ALPHA_RESUME_INTERVAL		1
RATE_DECREASE_INTERVAL		4
CLAMP_TARGET_RATE		No
RP_TIMER			900
EWMA_GAIN			0.00390625
FAST_RECOVERY_TIMES		1
RATE_AI				250Mb/s
RATE_HAI			100Mb/s
MIN_RATE		100Mb/s
DCTCP_RATE_AI				1000Mb/s
ERROR_RATE_PER_LINK		0
L2_CHUNK_SIZE			4000
L2_ACK_INTERVAL			1
L2_BACK_TO_ZERO			No
HAS_WIN		1
GLOBAL_T		0
VAR_WIN		1
FAST_REACT		1
U_TARGET		0.95
MI_THRESH		0
INT_MULTI				1
MULTI_RATE				0
SAMPLE_FEEDBACK				0
PINT_LOG_BASE				1.05
PINT_PROB				1
RATE_BOUND		1
ACK_HIGH_PRIO		0
LINK_DOWN				0 0 0
ENABLE_TRACE				1
KMAX_MAP				 25000000000 400 50000000000 800 100000000000 1600
KMIN_MAP				 25000000000 100 50000000000 200 100000000000 400
PMAX_MAP				 25000000000 0.2 50000000000 0.2 100000000000 0.2
BUFFER_SIZE				32
QLEN_MON_FILE				mix/1/qlen.txt
QLEN_MON_START				0
QLEN_MON_END				0
maxRtt=6240 maxBdp=78000
Running Simulation.
0 78000 78000
84 78000 78000
168 78000 78000
252 78000 78000
336 78000 78000
420 78000 78000
504 78000 78000
588 78000 78000
672 78000 78000
756 78000 78000
840 78000 78000
924 78000 78000
1008 78000 78000
1084 8 0
1092 78000 78000
1168 8 0
1176 78000 78000
1252 8 0
1260 78000 78000
1336 8 0
1344 78000 78000
1420 8 0
1428 78000 78000
1504 8 0
1512 78000 78000
1588 8 0
1596 78000 78000
1672 8 0
1680 78000 78000
1756 8 0
1764 78000 78000
1840 8 0
1848 78000 78000
1924 8 0
1932 78000 78000
2008 8 0
2016 78000 78000
2092 8 0
2100 78000 78000
2168 9 0
2176 8 0
2184 78000 78000
2252 9 0
2260 8 0
2268 78000 78000
2336 9 0
2344 8 0
2352 78000 78000
2420 9 0
2428 8 0
2436 78000 78000
2504 9 0
2512 8 0
2520 78000 78000
2588 9 0
2596 8 0
2604 78000 78000
2672 9 0
2680 8 0
2688 78000 78000
2756 9 0
2764 8 0
2772 78000 78000
2840 9 0
2848 8 0
2856 78000 78000
2924 9 0
2932 8 0
2940 78000 78000
3008 9 0
3016 8 0
3024 78000 78000
3092 9 0
3100 8 0
3108 78000 78000
3176 9 0
3184 8 0
3192 78000 78000
3260 9 0
3268 8 0
3276 78000 78000
3344 9 0
3352 8 0
3360 78000 78000
3428 9 0
3436 8 0
3444 78000 78000
3512 9 0
3520 8 0
3528 78000 78000
3596 9 0
3604 8 0
3612 78000 78000
3680 9 0
3688 8 0
3696 78000 78000
3764 9 0
3772 8 0
3780 78000 78000
3848 9 0
3856 8 0
3864 78000 78000
3932 9 0
